"","File.Name","X0","X.selection.","X.balancing.selection.","X.purifying.selection.","X.positive.selection.","X.selection.coefficient.","X.gene.ontology.","fitness.","assigned","author","selection_measured_in_time_series_data","central_question_regarding_selection","outcome_of_central_question","selection_level_of_analysis","selection_hypothesized_driver_of_change","selection_method_of_estimating","selection_candidate_gene_list","added_genes_to_list","selection_coefficent_overall","selection_coefficent_meanofoutliers","X.x","X.y","doi","year","authors","first_author.y","keywords","Title","Notes","Study.system","Taxon","Driver.of.change","Data.type","Experimental.design","Time.scale.years","Time.scale.generations","Driver.of.change.std"
"146","10.1186_s12864-016-3298-6.pdf",157,"Yes","No","Yes","Yes","Yes","No","Yes","henrey","brown","yes","How has selection shaped tuberculosis populations in New York City and New Jersey?","candidate gene list","multiple temporal","host-pathogen","dN/dS","yes",NA,"","","",147,"10.1186/s12864-016-3298-6",2016,"Brown; TS; Narechania; A; Walker; JR; Planet; PJ; Bifani; PJ; Kolokotronis; SO; Kreiswirth; BN; Mathema; B","Brown","Mycobacterium tuberculosis; Whole genome sequencing; Phylogenomics; Surveillance","genomic epidemiology of lineage 4 mycobacterium tuberculosis subpopulations in new york city and new jersey; 1999-2009","Details really hard to find; no generation time reported","microbes","Mycobacterium tuberculosis ","host-pathogen","WGS","historical","10",NA,"host-pathogen"
"147","10.1186_s12864-021-07700-4.pdf",159,"Yes","No","Yes","Yes","No","No","No","henrey","Peck","yes","did F. xylaroides aquire pathogenicity genes from F. oxysporum","candidate gene list; virulence and growth pathways but not many drug resistance mutations","multiple_temporal","horizontal gene transfer","dn/ds","yes",NA,NA,NA,"",148,"10.1186/s12864-021-07700-4",2021,"Peck L.D.; Nowell R.W.; Flood J.; Ryan M.R.; Barraclough T.G.","Peck","Comparative genomics; Effector; Fungi; Fusarium oxysporum; Host adaptation; Proteome","historical genomics reveals the evolutionary mechanisms behind multiple outbreaks of the host-specific coffee wilt pathogen fusarium xylarioides","can be dormant for up to 5-10 years","microbes","fusarium xylarioides","host-pathogen","WGS","historical","52","N/A","host-pathogen"
"150","10.1186_s13059-018-1503-4.pdf",162,"Yes","No","No","Yes","Yes","Yes","Yes","Ally","Mallard","yes","What is the genetic architecture of thermal adaption?","Large-effect loci segregat at intermediate allele freq, allowig for rapid response to selection","single","temperature; experimental","CMH","no",NA,"0.06, see figure",NA,"",152,"10.1186/s13059-018-1503-4",2018,"Mallard; Francois; Nolte; Viola; Tobler; Ray; Kapun; Martin; Schloetterer; Christian","Mallard","","A simple genetic basis of adaptation to a novel thermal environment results in complex metabolic rewiring in <i>Drosophila</i>","","invertebrate","Drosophila simulans","experimental","poolseq","experimental","#N/A","64","experimental"
"151","10.1186_s13059-018-1503-4.pdf",162,"Yes","No","No","Yes","Yes","Yes","Yes","Ally","Mallard","yes","What is the genetic architecture of thermal adaption?","Large-effect loci segregat at intermediate allele freq, allowig for rapid response to selection","single","temperature; experimental","CMH","no",NA,"0.06, see figure",NA,"",151,"10.1186/s13059-018-1503-4",2018,"Mallard F.; Nolte V.; Tobler R.; Kapun M.; Schl√∂tterer C.","Mallard","Evolve and resequence; Experimental evolution; Pool-Seq; RNASeq; Thermal adaptation","a simple genetic basis of adaptation to a novel thermal environment results in complex metabolic rewiring in drosophila","","invertebrate","Drosophila simulans","experimental","poolseq","experimental","","59","experimental"
"152","10.1186_s13059-021-02425-9.pdf",163,"Yes","No","Yes","Yes","Yes","No","Yes","danny","otte","yes","Does population ancestry or selection regime determine temperature adaptation?","population ancestry","multiple_temporal","temperature; experimental","allele frequency change, CMH","yes",NA,NA,NA,NA,153,"10.1186/s13059-021-02425-9",2021,"Otte K.A.; Nolte V.; Mallard F.; Schl√∂tterer C.","Otte","","The genetic architecture of temperature adaptation is shaped by population ancestry and not by selection regime","","invertebrate","Drosophila simulans","experimental","poolseq","experimental","4","50","experimental"
"154","10.1371_journal.pbio.2001586.pdf",166,"Yes","No","No","No","No","No","Yes","","yen","yes","Do drug-order specific effects lead to variations in antibiotic resistance?","yes","multiple_temporal","antibiotics","novel mutation identification; minimum inhibitory concentration analyses of mutations","yes","yes",NA,NA,"",155,"10.1371/journal.pbio.2001586",2017,"Yen P.; Papin J.A.","Yen","","History of antibiotic adaptation influences microbial evolutionary dynamics during subsequent treatment","","bacteria","Pseudomonas aerguinosa","experimental","WGS","experimental","0.05479452 or 0.109589041","180 or 960","experimental"
"155","10.1371_journal.pbio.3002333.pdf",167,"Yes","No","No","Yes","No","Yes","Yes","Ally","Shpak","yes","What changes in genomic diversity can be tracked by comparing histroical to modern samples?","Several genes including those related to antiviral resistance & circadian ","multiple_tempotal","natural evolution; increasing human inpact","PBE","yes",NA,NA,NA,"",156,"10.1371/journal.pbio.3002333",2023,"Shpak M.; Ghanavi H.R.; Lange J.D.; Pool J.E.; Stensmyr M.C.","Shpak","","genomes from historical drosophila melanogaster specimens illuminate adaptive and demographic changes across more than 200 years of evolution","","invertebrate","Drosophila melanogaster","natural evolution","WGS","historical","223","8505","natural evolution"
"156","10.1371_journal.pgen.1009722.pdf",169,"Yes","No","No","No","Yes","No","Yes","","pentz","yes","Can we predict outcomes of experimental evolution on Pseudomonas protegens based on the same experiements in Pseudomonas fluorescens?","Mutated pathways and genes and even protein regions can be predicted but not nucleotides","multiple_temporal","access to O2, colonization of air-liquid interface","novel mutation","yes",NA,"figure and table, see notes","figure and table, see notes","",157,"10.1371/journal.pgen.1009722",2021,"","","","Forecasting of phenotypic and genetic outcomes of experimental evolution in Pseudomonas protegens","","bacteria","Pseudomonas protegens","experimental","reduced representation","experimental","0.008","7200","experimental"
"157","10.1371_journal.pgen.1011333.pdf",170,"Yes","No","No","Yes","No","Yes","Yes","danny","zion","yes","How does ecoli evolve to diminishing resources over long time periods (6 years)?","convergently/in parallel, continuously, with historical contingency","multiple_temporal","diminishing resources","dn/ds, association tests (for historical contingency)","yes",NA,"","","",158,"10.1371/journal.pgen.1011333",2024,"Zion S.; Katz S.; Hershberg R.","Zion","","escherichia coli adaptation under prolonged resource exhaustion is characterized by extreme parallelism and frequent historical contingency","","microbes","escherichia coli","experimental","WGS","experimental","6","26280","experimental"
"159","10.1371_journal.pone.0147549.pdf",172,"Yes","No","Yes","No","No","No","No","henrey","Huang","yes","how has parasitism altered gene expression and SNPs in bees?","candidate gene list","multiple temporal","parasitism","dn/ds","yes",NA,NA,NA,"",160,"10.1371/journal.pone.0147549",2016,"Huang; Qiang; Chen; Yan Ping; Wang; Rui Wu; Cheng; Shang; Evans; Jay D.","Huang","","Host-Parasite Interactions and Purifying Selection in a Microsporidian Parasite of Honey Bees","","yeast","","host-pathogen","reduced representation","experimental","6","#N/A","host-pathogen"
"160","10.1371_journal.pone.0201838.pdf",173,"Yes","No","No","No","Yes","No","Yes","","hubert","yes","What genes have experienced selection in Tasmanian devils due to DFTD?","cancer and behavior-related; candidate gene list","multiple_temporal","disease; Devil Face Tumor Disease","signasel","yes",NA,NA,NA,"",161,"10.1371/journal.pone.0201838",2018,"Hubert J.-N.; Zerjal T.; Hospital F.","Hubert","","Cancer- and behavior-related genes are targeted by selection in the Tasmanian devil (Sarcophilus harrisii)","","vertebrate","Mammal","host-pathogen","WGS","historical","15","7.5","host-pathogen"
"161","10.1371_journal.ppat.1008298.pdf",174,"Yes","Yes","No","No","No","No","Yes","henrey","pearson","yes","Did selection drive a pathogen towards a commensal relationship?","No, trajectory was largely shaped by drift","multiple_temporal","host-pathogen","SLAC via HyPHY; Tajima's D","no",NA,"","","",162,"10.1371/journal.ppat.1008298",2020,"Pearson T.; Sahl J.W.; Hepp C.M.; Handady K.; Hornstra H.; Vazquez A.J.; Settles E.; Mayo M.; Kaestli M.; Williamson C.H.D.; Price E.P.; Sarovich D.S.; Cook J.M.; Wolken S.R.; Bowen R.A.; Tuanyok A.; Foster J.T.; Drees K.P.; Kidd T.J.; Bell S.C.; Currie B.J.; Keim P.","Pearson","","Pathogen to commensal? Longitudinal within-host population dynamics; evolution; and adaptation during a chronic >16-year Burkholderia pseudomallei infection","","bacteria","Burkholderia pseudomallei","host-pathogen","WGS","repeated","16","171624.4898","host-pathogen"
"162","10.1371_journal.ppat.1009744.pdf",175,"Yes","No","No","Yes","No","No","Yes","danny","tohma","yes","How have noroviruses evolved since the 1970s?","diversifying selection leads to new variants","multiple_temporal","epidemic","MEME, FUBAR, HyPhy, Datamonkey","yes",NA,"","","",163,"10.1371/journal.ppat.1009744",2021,"Tohma; K; Lepore; CJ; Martinez; M; Degiuseppe; JI; Khamrin; P; Saito; M; Mayta; H; Nwaba; AUA; Ford-Siltz; LA; Green; KY; Galeano; ME; Zimic; M; Stupka; JA; Gilman; RH; Maneekarn; N; Ushijima; H; Parra; GI","Tohma","","genome-wide analyses of human noroviruses provide insights on evolutionary dynamics and evidence of coexisting viral populations evolving under recombination constraints","","virus","Norovirus","natural evolution","WGS","historical","47","4,765","natural evolution"
"163","10.1371_journal.ppat.1010993.pdf",176,"Yes","No","No","No","No","No","Yes","","carrasquilla","yes","How has malaria in humans (Plasmodium falciparum) evolved in response to antimalarial drugs?","candidate gene list","multiple_temporal","antibiotics"," intra-chro- mosomal IBD and an analysis of haplotypic variation","yes","yes",NA,NA,"",164,"10.1371/journal.ppat.1010993",2022,"Carrasquilla; M; Early; AM; Taylor; AR; Ospina; AK; Echeverry; DF; Anderson; TJC; Mancilla; E; Aponte; S; C√°rdenas; P; Buckee; CO; Rayner; JC; S√°enz; FE; Neafsey; DE; Corredor; V","Carrasquilla","","resolving drug selection and migration in an inbred south american plasmodium falciparum population with identity-by-descent analysis","","microbes","Plasmodium falciparum","drug resistance; anthropogenic","WGS","repeated","24","4370","anthropogenic"
"164","10.1371_journal.ppat.1012090.pdf",177,"Yes","Yes","Yes","No","Yes","No","Yes","henrey","yu","yes","Does background selection drive the reduction in effective population size in SARS-CoV-2?","no,, drift","multiple_temporal","host-pathogen","simulation","no",NA,"","","",165,"10.1371/journal.ppat.1012090",2024,"Yu Q.; Ascensao J.A.; Okada T.; Boyd O.; Volz E.; Hallatschek O.","Yu","","Lineage frequency time series reveal elevated levels of genetic drift in SARS-CoV-2 transmission in England","","virus","covid","natural evolution","WGS","historical","1.75","127.75","natural evolution"
"165","10.15252_msb.20188462.pdf",178,"Yes","No","No","No","No","No","Yes","","guzm�n","yes","How does ancestral  enzyme function impact how bacteria adapts to novel substrates?","promiscuous activities in ancestral enzyme functions are altered to be involved in adaptation to novel substrate","multiple_temporal","substrate","novel mutations; Individual mutant growth test","yes","yes",NA,NA,"",166,"10.15252/msb.20188462",2019,"Guzm√°n G.I.; Sandberg T.E.; LaCroix R.A.; Nyerges √Å.; Papp H.; de Raad M.; King Z.A.; Hefner Y.; Northen T.R.; Notebaart R.A.; P√°l C.; Palsson B.O.; Papp B.; Feist A.M.","Guzm√°n","","Enzyme promiscuity shapes adaptation to novel growth substrates","","bacteria","E coli","experimental","WGS","experimental","#N/A","350 or 20","experimental"
"167","10.1534_g3.117.043349.pdf",180,"Yes","No","No","No","No","No","No","","barghi","yes","Is Drosophila simulans better suited than D. melanogaster for E&R studies that aim to charcterize the genomic archetecture of an adaptive response, since D. simulans does not have segregating inversions and has higher recombination rates?","yes","multiple_temporal","heat; experimental","CMH","no","",NA,NA,"",168,"10.1534/g3.117.043349",2017,"Barghi N.; Tobler R.; Nolte V.; Schl√∂tterer C.","Barghi","Chromosomal; Drosophila; Drosophila; Evolution; Evolve and; Experimental; Inversions; Melanogaster; Resequence; Simulans","drosophila simulans: a species with improved resolution in evolve and resequence studies","","invertebrate","Drosophila melanogaster","experimental","poolseq","experimental",NA,"60","experimental"
"168","10.1534_genetics.118.301824.pdf",182,"Yes","Yes","No","No","No","No","No","danny","kelly","yes","How does selection act in replicate populations of Drosophila?","evidence of parallel balancing selection","multiple_temporal","lab adaptation","likelihood/mer","yes",NA,NA,NA,NA,170,"10.1534/genetics.118.301824",2019,"Kelly J.K.; Hughes K.A.","Kelly","Drosophila simulans; Evolve-and-resequence; Genomics","pervasive linked selection and intermediate-frequency alleles are implicated in an evolve-and-resequencing experiment of drosophila simulans","Time scale generation calculated from https://doi.org/10.1016/B978-012158861-8/50007-7","invertebrate","Drosophila simulans","experimental","poolseq","experimental",NA,"15","experimental"
"169","10.3201_eid1909.130377.pdf",183,"Yes","No","No","Yes","No","No","No","henrey","Mann","yes","How has West Nile Virus changed from 2002-2012","4 genetic groups distinct from historical strains have emerged","multiple temporal","natural processes","dn/ds","no",NA,NA,NA,"",171,"10.3201/eid1909.130377",2013,"Mann; BR; McMullen; AR; Swetnam; DM; Salvato; V; Reyna; M; Guzman; H; Bueno; R; Dennett; JA; Tesh; RB; Barrett; ADT","Mann","","continued evolution of west nile virus; houston; texas; usa; 2002-2012","","virus","west nile virus","host-pathogen","WGS","historical","10",NA,"host-pathogen"
"171","10.3390_genes11040400.pdf",187,"Yes","No","No","No","Yes","No","Yes","","r�go","yes","How does selection act on seed beeltes when they are forced to adapt to a marginal host plant?","adult weight, development time, detoxification genes","multiple_temporal","symbioses","allele frequency change","yes",NA,NA,NA,"",173,"10.3390/genes11040400",2020,"R√™go A.; Chaturvedi S.; Springer A.; Lish A.M.; Barton C.L.; Kapheim K.M.; Messina F.J.; Gompert Z.","R√™go","Callosobruchus maculatus; Detoxification; Experimental evolution; Gene expression; Genome-wide association mapping; Host shift; Parallel evolution; Plant-insect interaction; Population genomics","combining experimental evolution and genomics to understand how seed beetles adapt to a marginal host plant","","invertebrate","Callosobruchus maculatus","host-pathogen","poolseq","experimental","","108","host-pathogen"
"175","10.7554_eLife.64971.pdf",192,"Yes","No","No","Yes","No","No","No","danny","dom��nguez-andr�s","yes","How did immune genes evolve in ancient European populations?","strongly during the Neolithic","multiple_temporal","social changes among ancient humans","GWAS, QTLs","yes",NA,"","","",177,"10.7554/eLife.64971",2021,"Dom√≠nguez-Andr√©s J.; Kuijpers Y.; Bakker O.B.; Jaeger M.; Xu C.-J.; Van der Meer J.W.M.; Jakobsson M.; Bertranpetit J.; Joosten L.A.B.; Li Y.; Netea M.G.","Dom√≠nguez-Andr√©s","","evolution of cytokine production capacity in ancient and modern european populations","uses published data; assumed generation time 30 years ","vertebrate","Homo sapiens","natural evolution","WGS","historical","25000","833.3333333","natural evolution"
